brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Chevrolet,Avalanche,2010,13990,Black,LT,Used,Other,4 x 4,Automatic,Other,229744,https://www.carproof.com/order?ref=kijiji&vin=3GNVKFE09AG112375,3GNVKFE09AG112375,,"4877 Steeles Ave W, North York, ON, M9L 2W1"
Audi,A4,2017,26590,White,Komfort,Used,Sedan,All-wheel drive (AWD),Automatic,Other,97008,,,,"55 Auction Ln, Brampton, ON, L6T 5V8"
Land Rover,Range Rover,2012,24800,Silver,"HSE LUX, V8, NAV, 360 CAM, SUNROOF, HEATED, VENTED",Used,"SUV, Crossover",4 x 4,Automatic,Other,145235,https://www.carproof.com/order?ref=kijiji&vin=SALMF1D43CA377125,SALMF1D43CA377125,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,GLA,2018,34995,Black,GLA 250 4MATIC AWD|Nav|B.Cam|Pano Sunroof|Leather,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,48025,https://www.carproof.com/order?ref=kijiji&vin=WDCTG4GBXJJ447433,WDCTG4GBXJJ447433,,"2773 Dufferin St, North York, ON, M6B 3R6"
Toyota,Yaris,2013,11990,White,LE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,143352,https://www.carproof.com/order?ref=kijiji&vin=JTDKTUD31DD550317,JTDKTUD31DD550317,,"2115 Lawrence Avenue East, Scarborough, ON, M1R 2Z8"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Ford,Edge,2017,25888,Other,"SEL SAFETY CERTIFIED, BRAND NEW REAR BRAKE PADS AND ROTORS, PANO ROOF, HEATED STEERING WHEEL, ALL-WHEEL DRIVE",Used,"SUV, Crossover",Other,Automatic,Other,95436,https://www.carproof.com/order?ref=kijiji&vin=2FMPK4J98HBC50170,2FMPK4J98HBC50170,,"940 Kingston Road, Pickering, ON, L1V 1B3"
Hyundai,Elantra,2020,24195,Other,Preferred | Carplay/Android Auto | Heated Seats+Steering Wheel,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,41111,https://www.carproof.com/order?ref=kijiji&vin=KMHD84LF7LU005299,KMHD84LF7LU005299,,"1800 Toyo Circle, Mississauga, ON, L4W 0E7"
Mercedes-Benz,C-Class,2016,25800,Grey,"C 300 4MATIC, AMG STYLING PKG, PANO NAV, HEATED",Used,Sedan,All-wheel drive (AWD),Automatic,Other,110000,https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB5GU132888,55SWF4KB5GU132888,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Ford,F-150,2019,40898,Blue,"XLT 5.0L V8 Engine, Trailer Tow Package, Remote Starter and XTR Chrome Package",Used,Other,Other,Automatic,Other,117442,https://www.carproof.com/order?ref=kijiji&vin=1FTEW1E54KFD20887,1FTEW1E54KFD20887,,"940 Kingston Road, Pickering, ON, L1V 1B3"
Tesla,Model 3,2021,63995,White,STANDARD RANGE PLUS|CARBOSPOILER|FSDCOMPUTER|+++,Used,Sedan,Other,Automatic,Other,32355,https://www.carproof.com/order?ref=kijiji&vin=5YJ3E1EA8MF852447,5YJ3E1EA8MF852447,,"100 Toro Road, North York, ON, M3J 2A9"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Mazda,3,2018,18590,Blue,GX,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,65121,,,,"55 Auction Ln, Brampton, ON, L6T 5V8"
Subaru,WRX,2018,24900,Other,IMPREZA WRX-SPORT-BACK UP CAMERA-BLUETOOTH,Used,Sedan,Other,,Gasoline,148000,https://www.carproof.com/order?ref=kijiji&vin=JF1VA1A64J9813209,JF1VA1A64J9813209,,"301 Weston Road, Toronto, ON, M6N 3P1"
BMW,X7,2019,96800,Black,"XDrive40i, M SPORT PKG, PANO, ADAPTIVE SUSPENSION,",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,59703,https://www.carproof.com/order?ref=kijiji&vin=5UXCW2C50KL084366,5UXCW2C50KL084366,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2012,9350,Red,LE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,197325,,,,"Toronto, ON, M1T, CA"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Toyota,Corolla,2003,2550,Silver,ce,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,2999,,,,"North York, ON M3J"
Nissan,Rogue,2014,18490,White,"SL AWD W/ Navi, Cam, Cruise Control, BT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,115622,,,,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
Lexus,RX,2013,24990,White,Base,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,109586,,,,"55 Auction Ln, Brampton, ON, L6T 5V8"
Bentley,Flying Spur,2015,129800,Other,"V8, 500HP, AWD,TWIN-TURBOCHARGED, NAV,CAM,SUNROOF",Used,Sedan,All-wheel drive (AWD),Automatic,Other,32847,https://www.carproof.com/order?ref=kijiji&vin=SCBET9ZA0FC042689,SCBET9ZA0FC042689,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
GMC,Sierra 1500,2015,22979,Black,4X4 EXTRA CLEAN!!! MUST SEE,Used,Pickup Truck,4 x 4,Automatic,Other,184959,https://www.carproof.com/order?ref=kijiji&vin=1GTV2TEC4FZ315330,1GTV2TEC4FZ315330,,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
Volvo,XC60,2015,20995,Grey,T5 Premier,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,154370,,,,"Vaughan, ON L4J 0H2"
Nissan,370Z,2015,47777,Red,NISMO TECH 350HP |NAV|CAMERA|6SPEED.MANUAL|15KM,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,15200,https://www.carproof.com/order?ref=kijiji&vin=JN1AZ4EH1FM440359,JN1AZ4EH1FM440359,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Mercedes-Benz,C-Class,2018,89800,Red,"AMG C63S, 503HP, NIGHT PKG, 360CAM, HEATED, NAV",Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,21551,https://www.carproof.com/order?ref=kijiji&vin=WDDWJ8HB2JF620137,WDDWJ8HB2JF620137,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Chevrolet,Cruze,2018,18498,Grey,LT- Heated Seats|  Alloys | Camera | Android & Apple Car play,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,94023,https://www.carproof.com/order?ref=kijiji&vin=1G1BE5SM0J7198202,1G1BE5SM0J7198202,,"765 Woodlawn Road West, Guelph, ON, N1K 1E9"
Toyota,Highlander,2021,58588,Silver,Limited,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,2770,,,,"3300 Steeles Avenue East, Markham, ON, L3R 1G9"
Mercedes-Benz,GLA,2018,32490,Silver,"250 4MATIC w/ Sport Pack, Premium Pack, Rearview Cam",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,72110,,,,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
Scion,tC,2012,13995,Yellow,Release Series 7.0 TRD Edition *6-Speed*,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Other,106472,https://www.carproof.com/order?ref=kijiji&vin=JTKJF5C7XC3026741,JTKJF5C7XC3026741,,"475 Kennedy Rd, Scarborough, ON, M1K 2A9"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
BMW,3-Series,2020,48777,White,330i xDrive PREMIUM ENHANCED |NAV|HUD|360CAMERA|HUD|34KM,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,34500,https://www.carproof.com/order?ref=kijiji&vin=3MW5R7J06L8B05358,3MW5R7J06L8B05358,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Land Rover,Range Rover,2017,79800,White,"Supercharged, 510 HP, 4WD, BLACK DESIGN PKG, PANO,",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,72959,https://www.carproof.com/order?ref=kijiji&vin=SALGS2FE3HA369862,SALGS2FE3HA369862,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mazda,CX-5,2018,27590,White,GX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,59988,https://www.carproof.com/order?ref=kijiji&vin=JM3KFBBL3J0383693,JM3KFBBL3J0383693,,"55 Auction Ln, Brampton, ON, L6T 5V8"
Maserati,Gran Turismo,2015,89995,Grey,GranTurismo Sport Pininfarina|CONVERTIBLE|454HP|++,Used,Convertible,Rear-wheel drive (RWD),Automatic,Other,65986,,,,"100 Toro Road, North York, ON, M3J 2A9"
Porsche,Macan,2015,37800,Silver,"Turbo, AWD, NAV, PREMIUM PLUS, HEATED/VENTED, CAM",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,152205,https://www.carproof.com/order?ref=kijiji&vin=WP1AF1A58FLB98075,WP1AF1A58FLB98075,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,E-Class,2019,56800,Black,"E450 4MATIC, DISTRONIC, CAM, NAV, PANO, BURMESTER",Used,Sedan,All-wheel drive (AWD),Automatic,Other,77013,https://www.carproof.com/order?ref=kijiji&vin=WDDZF6JBXKA692456,WDDZF6JBXKA692456,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Cadillac,Escalade,2007,6888,Black,FULLY LOADED - LEATHER - SUNROOF - HEATED SEAT'S,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,116200,https://www.carproof.com/order?ref=kijiji&vin=1gyfk63807r413254,1gyfk63807r413254,,"11 Saint Regis Crescent North, Toronto, ON, M3J 1Y9"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
BMW,3-Series,2020,48777,White,330i xDrive PREMIUM ENHANCED |NAV|HUD|360CAMERA|HUD|34KM,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,34500,https://www.carproof.com/order?ref=kijiji&vin=3MW5R7J06L8B05358,3MW5R7J06L8B05358,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Hyundai,Other,2022,46999,Grey,Ultimate AWD,New,Pickup Truck,Other,Automatic,Other,0,,,,"79 East Don Roadway, Toronto, ON, M4M 2A5"
Ford,Explorer,2019,40095,Silver,XLT - 4WD,Used,"SUV, Crossover",4 x 4,Automatic,Other,96583,,,,"420 Ecclestone DriveBox 1990, Bracebridge, ON, P1L 1V9"
Land Rover,Range Rover,2012,24800,Silver,"HSE LUX, V8, NAV, 360 CAM, SUNROOF, HEATED, VENTED",Used,"SUV, Crossover",4 x 4,Automatic,Other,145235,https://www.carproof.com/order?ref=kijiji&vin=SALMF1D43CA377125,SALMF1D43CA377125,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Ford,F-150,2018,41995,Red,4WD SuperCrew Box,Used,Pickup Truck,Front-wheel drive (FWD),Automatic,Other,57950,https://www.carproof.com/order?ref=kijiji&vin=1FTFW1EG6JFA99474,1FTFW1EG6JFA99474,,"4032b Finch Avenue East, Scarborough, ON, M1S 3T6"
Scion,tC,2012,13995,Yellow,Release Series 7.0 TRD Edition *6-Speed*,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Other,106472,https://www.carproof.com/order?ref=kijiji&vin=JTKJF5C7XC3026741,JTKJF5C7XC3026741,,"475 Kennedy Rd, Scarborough, ON, M1K 2A9"
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
,,0,0,,,,,,,,0,,,,
Lexus,Other,2007,6995,Silver,Premium,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,189588,https://www.carproof.com/order?ref=kijiji&vin=JTHBJ46G372071580,JTHBJ46G372071580,,"4690 Kingston Rd Unit 4, Scarborough, ON, M1E 2P9"
Nissan,Frontier,2019,40888,Other,PRO-4X,Used,Pickup Truck,4 x 4,Automatic,Gasoline,64661,https://www.carproof.com/order?ref=kijiji&vin=1N6AD0EV4KN708591,1N6AD0EV4KN708591,,"275 West Hunt Club Road, Ottawa, ON, K2E 1A6"
Ford,Mustang,2019,54900,Green,BULLITT FASTBACK-1 OWNER-NO ACCIDENTS-ALL ORIGINAL!,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Gasoline,23000,https://www.carproof.com/order?ref=kijiji&vin=1FA6P8K00K5502732,1FA6P8K00K5502732,,"301 Weston Road, Toronto, ON, M6N 3P1"
Hyundai,Tucson,2019,25800,Black,"Essential, CAM, BLUETOOTH,",Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,44971,https://www.carproof.com/order?ref=kijiji&vin=KM8J23A44KU960821,KM8J23A44KU960821,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Volkswagen,Passat,2018,17900,Black,TREDLINE TSI **AUTOMATIC-BACK UP CAMERA-HEATED SEATS**,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,119000,https://www.carproof.com/order?ref=kijiji&vin=1VWAA7A35JC034483,1VWAA7A35JC034483,,"301 Weston Road, Toronto, ON, M6N 3P1"
Cadillac,Escalade,2007,6888,Black,FULLY LOADED - LEATHER - SUNROOF - HEATED SEAT'S,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,116200,https://www.carproof.com/order?ref=kijiji&vin=1gyfk63807r413254,1gyfk63807r413254,,"11 Saint Regis Crescent North, Toronto, ON, M3J 1Y9"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
BMW,3-Series,2020,48777,White,330i xDrive PREMIUM ENHANCED |NAV|HUD|360CAMERA|HUD|34KM,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,34500,https://www.carproof.com/order?ref=kijiji&vin=3MW5R7J06L8B05358,3MW5R7J06L8B05358,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
Other,Other,2022,41863,White,Comfortline,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,,,"3450 Sheppard Avenue East, Toronto, ON, M1T 3K4"
Ford,Explorer,2015,11979,Black,"AWD *** X POLICE 2015 $12,979",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,166700,https://www.carproof.com/order?ref=kijiji&vin=1FM5K8AR0FGA22328,1FM5K8AR0FGA22328,,"5455 Steeles Avenue West, North York, ON, M9L 1S7"
Nissan,Rogue,2015,24897,White,SL AWD|NAV|BOSE|360CAM|PANOROOF|LEATHER|SAFETYTECH,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,80656,,,,"100 Toro Road, North York, ON, M3J 2A9"
BMW,M4,2015,58800,Grey,"COUPE, 425HP, MANUAL, INTERIOR CARBON TRIM, NAVI",Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,Other,67983,https://www.carproof.com/order?ref=kijiji&vin=WBS3R9C54FK331653,WBS3R9C54FK331653,,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Cadillac,Escalade,2007,6888,Black,FULLY LOADED - LEATHER - SUNROOF - HEATED SEAT'S,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,116200,https://www.carproof.com/order?ref=kijiji&vin=1gyfk63807r413254,1gyfk63807r413254,,"11 Saint Regis Crescent North, Toronto, ON, M3J 1Y9"
Honda,Civic,2006,2500,Black,,Used,Sedan,,,,340000,,,,"Toronto, ON M9L1V7"
Nissan,Sentra,2014,8200,Silver,SV,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,160000,https://www.carproof.com/order?ref=kijiji&vin=3n1ab7ap0e1671376,3n1ab7ap0e1671376,,"Toronto, ON M1B1L5"
BMW,3-Series,2020,48777,White,330i xDrive PREMIUM ENHANCED |NAV|HUD|360CAMERA|HUD|34KM,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,34500,https://www.carproof.com/order?ref=kijiji&vin=3MW5R7J06L8B05358,3MW5R7J06L8B05358,,"1323 Kennedy Road, Scarborough, ON, M1P 2L6"
Audi,Q5,2013,18800,Black,2.0L Premium,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,125000,https://www.carproof.com/order?ref=kijiji&vin=wa1mfcfp9da004225,wa1mfcfp9da004225,,"Blackwater Crescent, Toronto, ON M1B 1L5, Canada"
Jaguar,XF,2010,9999,Blue,R,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,208476,,,,"Keele Street, North York, ON"
BMW,X5,2019,58895,Black,APPLE CARPLAY | NAVI | PANO | CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89102,https://www.carproof.com/order?ref=kijiji&vin=5UXCR6C56KLK80634,5UXCR6C56KLK80634,,"2430 Finch Ave West,, North York, ON, M9M 2E1"
Honda,CR-V,2006,2500,Grey,Awd,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,370000,,,,"Martin Grove Road, Etobicoke, ON"
